6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.161616 stddev:0.9068430000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.131313 stddev:0.8244549999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.969697 stddev:0.758182 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.161616 stddev:0.9713790000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0 stddev:0.816497 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.090909 stddev:0.888659 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.030303 stddev:0.904026 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.020202 stddev:0.931815 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.030612 stddev:0.919783 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.0 stddev:0.864566 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.020202 stddev:0.8643299999999999 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.020202 stddev:0.75183 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.060606 stddev:0.8968879999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.8484849999999997 stddev:0.845232 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.784895 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.10101 stddev:0.9795379999999999 med:3.0
